plate,kind,well,z,cell_line,treatment,binary_iou,mean_instance_iou,matched_iou@0.5,precision@0.5,recall@0.5,f1@0.5,TP,FN,FP,n_expert,n_pred,depth_um
PB000139,nuclei,J06,3,HCT116,SN-38,0.6767957226758048,0.6847873808808559,0.7477081424444463,0.9629629629629629,0.896551724137931,0.9285714285714286,26,3,1,29,27,15
PB000139,nuclei,J06,5,HCT116,SN-38,0.51203508064088,0.4849500624646258,0.7806042941313318,0.6296296296296297,0.5862068965517241,0.6071428571428571,17,12,10,29,27,25
PB000139,nuclei,J06,7,HCT116,SN-38,0.33716090254564157,0.3603960183218798,0.7647341681475366,0.5185185185185185,0.3783783783783784,0.4375,14,23,13,37,27,35
PB000139,nuclei,J06,9,HCT116,SN-38,0.4295073443390095,0.3828894937595547,0.6911628765587667,0.5294117647058824,0.42857142857142855,0.4736842105263158,9,12,8,21,17,45
PB000139,nuclei,J15,1,HT29,abemaciclib,0.8150679342282426,0.7943332032819128,0.8649720266963846,0.95,0.9047619047619048,0.9268292682926829,19,2,1,21,20,5
PB000139,nuclei,J15,11,HT29,abemaciclib,0.35668242372152986,0.36755709114450974,0.7223229433305514,0.5,0.38461538461538464,0.4347826086956522,5,8,5,13,10,55
PB000139,nuclei,J15,3,HT29,abemaciclib,0.8154903462453142,0.7895634753405436,0.8927113515819781,0.8979591836734694,0.8627450980392157,0.8799999999999999,44,7,5,51,49,15
PB000139,nuclei,J15,5,HT29,abemaciclib,0.6700911839162386,0.6142679651384221,0.8323124415797856,0.803921568627451,0.7068965517241379,0.7522935779816514,41,17,10,58,51,25
PB000139,nuclei,J15,7,HT29,abemaciclib,0.5964352421874346,0.5643757259425506,0.8438906218128329,0.7843137254901961,0.6451612903225806,0.7079646017699115,40,22,11,62,51,35
PB000139,nuclei,J15,9,HT29,abemaciclib,0.37997356452234005,0.38780759381018814,0.8127670565963969,0.84,0.4666666666666667,0.6000000000000001,21,24,4,45,25,45
PB000140,cell,B14,1,HT29,abemaciclib,0.5559501827636885,0.318707156143008,0.5571260801070209,0.21428571428571427,0.1875,0.19999999999999998,3,13,11,16,14,5
PB000140,cell,B14,11,HT29,abemaciclib,0.361582921806143,0.32867776041407476,0.6716473768583806,0.25,0.25,0.25,4,12,12,16,16,55
PB000140,cell,B14,3,HT29,abemaciclib,0.7313174616554875,0.3640669340237023,0.6836984375719508,0.3333333333333333,0.3333333333333333,0.3333333333333333,14,28,28,42,42,15
PB000140,cell,B14,5,HT29,abemaciclib,0.749851516706314,0.2948101683744757,0.641273317798591,0.22807017543859648,0.22413793103448276,0.22608695652173913,13,45,44,58,57,25
PB000140,cell,B14,7,HT29,abemaciclib,0.5913198667742778,0.3079771313411071,0.6694986365701416,0.21666666666666667,0.21666666666666667,0.21666666666666667,13,47,47,60,60,35
PB000140,cell,B14,9,HT29,abemaciclib,0.42471162431525855,0.30975576875824856,0.6576759557073615,0.22580645161290322,0.22580645161290322,0.22580645161290322,7,24,24,31,31,45
PB000140,cell,C23,1,HCT116,SN-38,0.5890421792618629,0.5421181089156702,0.7141060388861927,0.5,0.5,0.5,5,5,5,10,10,5
PB000140,cell,C23,11,HCT116,SN-38,0.19360475469682129,0.22662241881106787,0.5949572912119271,0.2857142857142857,0.2222222222222222,0.25,2,7,5,9,7,55
PB000140,cell,C23,3,HCT116,SN-38,0.5970768125721002,0.33046592822069276,0.6630174639157798,0.23809523809523808,0.19230769230769232,0.21276595744680848,5,21,16,26,21,15
PB000140,cell,C23,5,HCT116,SN-38,0.4467943058927389,0.21904734053772604,0.7246327721313204,0.15,0.12,0.1333333333333333,3,22,17,25,20,25
PB000140,cell,C23,7,HCT116,SN-38,0.36158281907129336,0.24482509069464498,0.6569822893012536,0.15384615384615385,0.11764705882352941,0.13333333333333333,2,15,11,17,13,35
PB000140,cell,C23,9,HCT116,SN-38,0.23620045620381247,0.15677250120954864,0.6288123759905717,0.16666666666666666,0.09090909090909091,0.11764705882352942,2,20,10,22,12,45
PB000140,cell,D22,1,HT29,binimetinib,0.4492054942095341,0.2336061829911082,0.6785175563183854,0.10526315789473684,0.1,0.10256410256410256,2,18,17,20,19,5
PB000140,cell,D22,11,HT29,binimetinib,0.0,0.0,,,0.0,,0,7,0,7,0,55
PB000140,cell,D22,3,HT29,binimetinib,0.24629902172972037,0.22022485149844825,0.6729952147350851,0.2631578947368421,0.21739130434782608,0.23809523809523808,5,18,14,23,19,15
PB000140,cell,D22,5,HT29,binimetinib,0.2786370001555936,0.17737880490924163,0.6222278409859375,0.29411764705882354,0.22727272727272727,0.25641025641025644,5,17,12,22,17,25
PB000140,cell,D22,7,HT29,binimetinib,0.441894788628457,0.3011748444012634,0.5935744464058574,0.375,0.3333333333333333,0.35294117647058826,6,12,10,18,16,35
PB000140,cell,D22,9,HT29,binimetinib,0.07210546673543064,0.06635814422675727,0.6855747558226897,0.125,0.08333333333333333,0.1,1,11,7,12,8,45
PB000140,cell,G05,1,HCT116,binimetinib,0.7359112818468452,0.2725108763336765,0.8369759942672877,0.16666666666666666,0.16666666666666666,0.16666666666666666,1,5,5,6,6,5
PB000140,cell,G05,11,HCT116,binimetinib,0.2628147047901968,0.23469745543711482,0.7128240638282032,0.2727272727272727,0.23076923076923078,0.24999999999999994,3,10,8,13,11,55
PB000140,cell,G05,3,HCT116,binimetinib,0.5630337301794692,0.2706736764450945,0.6861705183894751,0.20833333333333334,0.16666666666666666,0.1851851851851852,5,25,19,30,24,15
PB000140,cell,G05,5,HCT116,binimetinib,0.3819578028151812,0.18955140837417322,0.552163911849976,0.14285714285714285,0.09090909090909091,0.1111111111111111,3,30,18,33,21,25
PB000140,cell,G05,7,HCT116,binimetinib,0.32740905010824223,0.24043923443227624,0.6455644434119516,0.15384615384615385,0.1111111111111111,0.12903225806451615,2,16,11,18,13,35
PB000140,cell,G05,9,HCT116,binimetinib,0.44388701238492617,0.28011708017639286,0.5109097412662453,0.0625,0.045454545454545456,0.052631578947368425,1,21,15,22,16,45
