;perturbation;group;grit;compound;conc
334;LGK974_1059;0.333;0.47550922024425657;LGK974;0.333
335;LGK974_1082;0.0333;0.5601898836978155;LGK974;0.0333
336;LGK974_1095;10.0;0.6520594319438164;LGK974;10.0
337;LGK974_1120;10.0;0.6472077082979253;LGK974;10.0
338;LGK974_1130;1.0;0.6473960732173889;LGK974;1.0
339;LGK974_1172;0.333;0.4270923944876181;LGK974;0.333
340;LGK974_1185;0.0333;0.3479731183208282;LGK974;0.0333
341;LGK974_625;1.0;-0.6711834777789178;LGK974;1.0
342;LGK974_648;0.0333;-0.16708736488072506;LGK974;0.0333
343;LGK974_662;0.00833;-0.5184092034904162;LGK974;0.00833
344;LGK974_668;0.333;-0.28385917461494825;LGK974;0.333
345;LGK974_690;10.0;0.14426970205370257;LGK974;10.0
346;LGK974_700;1.0;0.5877813040726001;LGK974;1.0
347;LGK974_776;0.1;-0.3567475190672424;LGK974;0.1
348;LGK974_781;0.0333;-0.630174717897307;LGK974;0.0333
349;LGK974_834;0.00833;-0.02649576320574041;LGK974;0.00833
350;LGK974_859;0.1;0.44490170193256545;LGK974;0.1
351;LGK974_897;0.333;0.11704936885001503;LGK974;0.333
352;LGK974_906;10.0;0.124032812131124;LGK974;10.0
353;LGK974_933;0.1;-0.5446944874808761;LGK974;0.1
354;LGK974_964;0.00833;0.2630288744670236;LGK974;0.00833
355;LGK974_999;1.0;0.469542725850585;LGK974;1.0
356;LY2603_1006;0.333;0.6983040431163693;LY2603;0.333
357;LY2603_1014;0.1;0.5258428475550039;LY2603;0.1
358;LY2603_1047;0.1;0.616754974677132;LY2603;0.1
359;LY2603_1097;0.0333;0.3847326794920523;LY2603;0.0333
360;LY2603_1140;10.0;1.4667446093712324;LY2603;10.0
361;LY2603_1147;1.0;0.35756961301685;LY2603;1.0
362;LY2603_1181;1.0;0.8394257636329856;LY2603;1.0
363;LY2603_1189;0.333;0.5862069942575105;LY2603;0.333
364;LY2603_1194;10.0;1.4547376552688227;LY2603;10.0
365;LY2603_613;0.00833;-0.45179881676849154;LY2603;0.00833
366;LY2603_683;0.333;0.7444406929508977;LY2603;0.333
367;LY2603_704;0.0333;-0.24654821185147244;LY2603;0.0333
368;LY2603_710;10.0;0.8258587217391601;LY2603;10.0
369;LY2603_740;1.0;0.9037717044245895;LY2603;1.0
370;LY2603_755;0.0333;-0.6451039732716763;LY2603;0.0333
371;LY2603_765;10.0;1.4026171661575135;LY2603;10.0
372;LY2603_786;0.1;0.48364942995704985;LY2603;0.1
373;LY2603_792;1.0;-0.4306786639516189;LY2603;1.0
374;LY2603_831;0.00833;0.27200858216189894;LY2603;0.00833
375;LY2603_846;0.1;-0.6098592760451751;LY2603;0.1
376;LY2603_864;0.333;-0.17798925761694126;LY2603;0.333
377;LY2603_929;0.0333;-0.6133600660900753;LY2603;0.0333
378;LY2603_935;0.00833;-0.22284464147902064;LY2603;0.00833
379;LY2603_953;0.00833;-0.5822367407835027;LY2603;0.00833
380;Linsit_1016;0.333;0.08976900713234026;Linsit;0.333
381;Linsit_1019;10.0;1.7212916187484695;Linsit;10.0
382;Linsit_1094;0.1;0.549213309359983;Linsit;0.1
383;Linsit_1134;0.1;0.22507868843927728;Linsit;0.1
384;Linsit_1146;10.0;2.1043986723573322;Linsit;10.0
385;Linsit_1186;0.333;0.683292773701543;Linsit;0.333
386;Linsit_1202;1.0;0.8350943706780326;Linsit;1.0
387;Linsit_1212;0.0333;0.4228854207385726;Linsit;0.0333
388;Linsit_624;1.0;0.5557153345618633;Linsit;1.0
389;Linsit_634;10.0;2.1923934467487216;Linsit;10.0
