EnsemblID,gene_name,logFC,PValue,FDR,F,gene_biotype,GroupA_NormCPM,GroupB_NormCPM,GroupA_stdv,GroupB_stdv,log10FDR,alias,mygene_name,summary
ENSG00000198468,FLVCR1-DT,0.0990291,0.612738,0.879984,0.270832,lncRNA,4.53354,4.93153,0.435409,0.959159,0.0555253,,,
ENSG00000081913,PHLPP1,-0.105848,0.612815,0.879984,0.270997,protein_coding,13.8925,12.9206,4.32675,1.45663,0.0555253,,,
ENSG00000149054,ZNF215,0.118941,0.612886,0.879984,0.270634,protein_coding,2.62547,2.96424,0.533661,0.497084,0.0555253,,,
ENSG00000198792,TMEM184B,-0.0867836,0.612973,0.879984,0.27071,protein_coding,44.5769,42.4581,10.7377,3.60577,0.0555253,,,
ENSG00000068912,ERLEC1,-0.125019,0.612981,0.879984,0.27074,protein_coding,41.5036,36.6826,18.6539,1.22379,0.0555253,,,
ENSG00000131507,NDFIP1,0.0667622,0.613018,0.879984,0.270373,protein_coding,73.2225,77.1943,10.2058,2.10293,0.0555253,,,
ENSG00000116750,UCHL5,-0.0694778,0.613084,0.879984,0.270272,protein_coding,62.5981,60.154,9.38813,2.84286,0.0555253,,,
ENSG00000304309,ENSG00000304309,-0.115261,0.613115,0.879984,0.270331,lncRNA,3.75161,3.76631,1.26538,0.574143,0.0555253,,,
ENSG00000171791,BCL2,0.159497,0.613134,0.879984,0.27014,protein_coding,1.29736,1.59561,0.56078,0.32743,0.0555253,,,
ENSG00000111802,TDP2,-0.0659451,0.613281,0.880105,0.269969,protein_coding,39.0049,37.2344,2.74866,3.88331,0.0554658,,,
ENSG00000140043,PTGR2,0.0880585,0.613461,0.880131,0.269699,protein_coding,7.4838,8.20796,1.52941,0.420302,0.0554528,,,
ENSG00000104814,MAP4K1,0.120158,0.613483,0.880131,0.269713,protein_coding,2.57551,2.83889,0.506806,0.465715,0.0554528,,,
ENSG00000105983,LMBR1,0.0806502,0.613507,0.880131,0.269748,protein_coding,38.2013,41.1428,8.14442,2.20823,0.0554528,,,
ENSG00000102302,FGD1,0.112706,0.613587,0.880131,0.26981,protein_coding,10.6413,12.1518,3.36995,2.48399,0.0554528,,,
ENSG00000269386,RAB11B-AS1,0.108897,0.613699,0.880131,0.269366,lncRNA,3.88603,4.01046,0.610319,0.815466,0.0554528,,,
ENSG00000126243,LRFN3,-0.0808917,0.613701,0.880131,0.269431,protein_coding,25.8831,24.9376,5.37061,2.17046,0.0554528,,,
ENSG00000182944,EWSR1,0.0902471,0.613749,0.880131,0.269555,protein_coding,313.643,335.011,76.7251,10.2905,0.0554528,,,
ENSG00000100889,PCK2,-0.0952035,0.613807,0.880131,0.269372,protein_coding,10.9467,10.8474,3.32196,0.395981,0.0554528,,,
ENSG00000174485,DENND4A,-0.128353,0.613912,0.880159,0.269321,protein_coding,6.61122,5.34957,2.90885,0.64844,0.0554387,,,
ENSG00000183475,ASB7,0.0639431,0.614018,0.880159,0.268837,protein_coding,16.0495,16.9675,1.17306,0.943918,0.0554387,,,
ENSG00000276043,UHRF1,-0.0954048,0.614058,0.880159,0.269081,protein_coding,102.901,97.1974,27.6362,8.66049,0.0554387,,,
ENSG00000142798,HSPG2,0.111903,0.614081,0.880159,0.269047,protein_coding,27.1012,28.1386,9.51136,2.30881,0.0554387,,,
ENSG00000149600,COMMD7,-0.112979,0.614319,0.880371,0.268682,protein_coding,20.2447,17.6899,8.04683,1.17578,0.0553341,,,
ENSG00000105701,FKBP8,-0.108986,0.614416,0.880371,0.268531,protein_coding,134.21,123.06,50.0861,5.27683,0.0553341,,,
ENSG00000162066,AMDHD2,-0.105252,0.614419,0.880371,0.268527,protein_coding,24.3619,21.7675,8.17975,2.682,0.0553341,,,
ENSG00000272455,MRPL20-DT,-0.116173,0.614528,0.880436,0.268106,lncRNA,2.12328,1.99468,0.326438,0.226084,0.0553023,,,
ENSG00000119915,ELOVL3,0.0984032,0.614759,0.880601,0.267796,protein_coding,6.81349,7.52538,1.66402,0.829004,0.0552207,,,
ENSG00000070269,TMEM260,-0.179521,0.61479,0.880601,0.267971,protein_coding,7.40819,5.45083,5.51751,0.74122,0.0552207,,,
ENSG00000173465,ZNRD2,0.0629247,0.614834,0.880601,0.267586,protein_coding,37.219,38.9686,3.30196,2.05181,0.0552207,,,
ENSG00000284194,SCO2,-0.0850459,0.614948,0.880649,0.267618,protein_coding,38.8416,36.024,8.21773,4.40108,0.0551972,,,
ENSG00000213963,ENSG00000213963,-0.114869,0.615023,0.880649,0.267396,lncRNA,4.50885,3.84594,1.16364,0.675237,0.0551972,,,
ENSG00000168071,CCDC88B,-0.198435,0.615057,0.880649,0.267551,protein_coding,13.2138,9.87602,10.0856,2.58258,0.0551972,,,
