cond,z,wid,n_objects
nyquist,40,PB100083_A08,78
nyquist,40,PB100083_B05,90
nyquist,40,PB100083_C08,115
nyquist,40,PB100083_D03,88
nyquist,40,PB100083_E06,90
nyquist,40,PB100083_F01,33
nyquist,40,PB100083_G04,114
nyquist,40,PB100083_H01,91
nyquist,40,PB100083_H07,43
nyquist,43,PB100082_A02,77
nyquist,43,PB100082_A08,116
nyquist,43,PB100082_B05,104
nyquist,43,PB100082_C08,102
nyquist,43,PB100082_D03,80
nyquist,43,PB100082_E06,78
nyquist,43,PB100082_F01,100
nyquist,43,PB100082_G04,64
nyquist,43,PB100082_H01,14
nyquist,43,PB100082_H07,64
nyquist,43,PB100083_A02,16
nyquist,43,PB100083_A08,65
nyquist,43,PB100083_B05,84
nyquist,43,PB100083_C08,105
nyquist,43,PB100083_D03,78
nyquist,43,PB100083_E06,77
nyquist,43,PB100083_F01,22
nyquist,43,PB100083_G04,102
nyquist,43,PB100083_H01,85
nyquist,43,PB100083_H07,42
v1,0,PB000137_B22,20
v1,0,PB000137_C05,52
v1,0,PB000137_D12,32
v1,0,PB000137_E16,47
v1,0,PB000137_F06,14
v1,0,PB000137_F20,28
v1,0,PB000137_G02,21
v1,0,PB000137_G13,43
v1,0,PB000137_H10,17
v1,0,PB000137_H17,13
v1,0,PB000137_I21,23
v1,0,PB000137_J03,29
v1,0,PB000137_J14,19
v1,0,PB000137_K11,20
v1,0,PB000137_L07,40
v1,0,PB000137_L18,36
v1,0,PB000137_M23,21
v1,0,PB000137_N15,16
v1,0,PB000137_O09,26
v1,0,PB000138_B22,44
v1,0,PB000138_C05,33
v1,0,PB000138_D12,15
v1,0,PB000138_E16,8
v1,0,PB000138_F06,11
v1,0,PB000138_F20,15
v1,0,PB000138_G02,34
v1,0,PB000138_G13,20
v1,0,PB000138_H10,18
v1,0,PB000138_H17,27
v1,0,PB000138_I21,16
v1,0,PB000138_J03,33
v1,0,PB000138_J14,23
v1,0,PB000138_K11,15
v1,0,PB000138_L07,15
v1,0,PB000138_L18,50
v1,0,PB000138_M23,17
v1,0,PB000138_N04,7
v1,0,PB000138_N15,34
v1,0,PB000138_O09,10
v1,0,PB000139_B04,16
v1,0,PB000139_C10,40
v1,0,PB000139_G03,20
v1,0,PB000139_H12,31
v1,0,PB000139_I06,40
v1,0,PB000139_K09,23
v1,0,PB000139_N05,21
v1,0,PB000139_O07,34
v1,0,PB000139_O11,16
v1,0,PB000140_B04,36
v1,0,PB000140_C10,17
v1,0,PB000140_E02,26
v1,0,PB000140_G03,24
v1,0,PB000140_H12,25
v1,0,PB000140_I06,50
v1,0,PB000140_K09,35
v1,0,PB000140_N05,23
v1,0,PB000140_O07,11
v1,0,PB000140_O11,44
v1,1,PB000137_B22,40
v1,1,PB000137_C05,86
v1,1,PB000137_D12,55
v1,1,PB000137_E16,60
v1,1,PB000137_F06,32
