,Metadata_Site,Location_Center_X_cells,Location_Center_Y_cells
77086,3,537.8123,667.16724
77087,3,311.70746,681.2181
77088,3,374.25037,686.86957
77089,3,486.79285,721.74896
77090,3,420.63852,717.52496
77091,3,568.2103,717.92413
111699,4,538.4591,145.62737
111700,4,604.4363,178.56264
111701,4,474.3653,173.42805
111702,4,523.45184,211.72502
111703,4,422.62384,221.94037
111704,4,622.7109,237.91899
111705,4,324.55698,268.45398
111706,4,482.34146,278.49716
111707,4,573.5787,280.05115
111708,4,681.0425,306.90842
111709,4,380.721,301.94983
111710,4,629.414,300.607
111711,4,541.2044,319.0018
111712,4,733.8137,339.66162
111713,4,279.90546,340.25543
111714,4,326.57938,341.1775
111715,4,508.7463,361.4168
111716,4,614.14667,354.61276
111717,4,395.94147,359.6187
111718,4,226.3417,377.91855
111719,4,563.67926,399.99945
111720,4,677.88727,388.03506
111721,4,458.48795,395.95966
111722,4,337.54837,403.33017
111723,4,728.1052,417.9375
111724,4,621.97003,424.3471
111725,4,506.48065,423.20236
111726,4,397.0821,430.6292
111727,4,330.0821,477.98862
111728,4,681.8034,458.89587
111729,4,582.7741,471.53796
111730,4,752.2264,456.20493
111731,4,494.22366,477.38617
111732,4,726.1496,506.03378
111733,4,609.4324,511.37424
111734,4,659.3048,519.8506
111735,4,381.6339,517.20807
111736,4,288.14075,532.51935
111737,4,480.6472,532.216
111738,4,227.10718,533.5958
111739,4,427.60437,561.9348
111740,4,715.37866,559.4567
111741,4,360.36417,573.4519
111742,4,633.09515,573.0636
111743,4,206.03792,583.8363
111744,4,259.8486,580.2814
111745,4,558.2696,610.0495
111746,4,489.93448,586.65283
111747,4,307.14053,614.26685
111748,4,700.92804,615.1695
111749,4,449.86972,628.34125
111750,4,606.4519,629.87573
111751,4,359.01752,646.83636
111752,4,257.56808,651.11237
111753,4,498.91995,633.31586
111754,4,423.2873,670.71545
111755,4,598.7707,678.2268
111756,4,510.17212,679.5658
111757,4,661.3189,687.3927
111758,4,389.93378,711.1835
111759,4,553.64594,718.19763
111760,4,324.50308,721.52924
111761,4,630.9098,727.2049
111762,4,468.70728,733.4038
111763,4,568.6671,769.20294
152764,5,598.3612,160.13077
152765,5,491.26794,161.14946
152766,5,428.70367,170.71904
152767,5,555.1983,194.39543
152768,5,636.7416,225.46251
152769,5,445.81274,218.587
152770,5,391.74152,221.69446
152771,5,500.05283,231.51166
152772,5,330.88666,248.80417
152773,5,550.6545,267.22397
152774,5,443.82837,283.94147
152775,5,700.65826,282.5522
152776,5,617.07355,282.89423
152777,5,383.73682,306.93292
152778,5,497.9963,303.28052
152779,5,548.48645,314.66873
152780,5,283.22067,340.30826
152781,5,237.35794,314.5302
152782,5,343.28174,338.69458
152783,5,741.48315,341.3814
152784,5,657.7572,322.7881
152785,5,603.81555,347.6024
152786,5,675.62024,360.52945
152787,5,514.95435,360.2196
152788,5,226.87094,364.9796
152789,5,445.55432,381.97974
152790,5,762.7185,404.32358
152791,5,396.2736,408.43
152792,5,338.18552,396.17444
152793,5,570.04333,396.50912
152794,5,283.92822,405.28653
152795,5,234.399,411.72778
152796,5,618.81433,424.82095
152797,5,678.77765,426.30515
152798,5,468.00604,439.50024
152799,5,341.588,462.68137
152800,5,764.2459,466.29828
152801,5,214.18147,472.41602
152802,5,269.40744,472.9023
152803,5,718.7845,492.4772
152804,5,589.2264,468.89435
152805,5,522.9445,476.9729
152806,5,661.73785,508.83566
152807,5,609.2089,509.47076
152808,5,370.45496,517.41864
152809,5,493.55646,524.2611
152810,5,265.35974,529.6334
152811,5,425.94138,547.411
152812,5,567.7797,549.69403
152813,5,817.79865,548.78766
152814,5,201.44293,579.78534
152815,5,357.9885,574.29095
152816,5,632.803,573.1686
152817,5,474.088,579.1886
152818,5,546.5106,601.6619
152819,5,282.41058,598.0096
152820,5,703.99695,615.7833
152821,5,462.58063,636.19586
152822,5,399.01028,617.78424
152823,5,344.7881,634.7298
152824,5,623.94867,635.62225
152825,5,212.19807,635.4831
152826,5,247.1795,651.51306
152827,5,682.5617,676.91626
152828,5,380.57162,662.44904
152829,5,303.38278,670.768
152830,5,565.50134,667.2063
152831,5,433.3652,683.3191
152832,5,626.3712,728.66406
152833,5,369.72296,709.18726
152834,5,266.36383,714.294
152835,5,536.2732,704.7533
152836,5,456.9659,739.4874
152837,5,565.79645,755.0625
152838,5,526.0,782.8975
152839,5,476.10794,801.7848
198498,6,611.3886,86.06365
198499,6,502.5726,139.29044
198500,6,599.21027,146.55219
198501,6,428.349,162.69576
198502,6,550.9754,184.27599
198503,6,666.33295,180.51953
198504,6,363.54242,178.2862
198505,6,494.5978,198.669
198506,6,641.6182,222.93365
198507,6,447.88126,227.99045
198508,6,391.3794,234.39934
198509,6,719.00226,224.83673
198510,6,584.32855,239.2165
198511,6,515.6213,249.10747
198512,6,633.18896,279.15393
198513,6,476.09302,289.11023
198514,6,341.7148,283.9459
198515,6,707.5333,295.70786
198516,6,557.77,292.3845
198517,6,758.7862,308.11215
198518,6,397.21796,309.61053
198519,6,626.13464,332.98636
198520,6,195.91873,327.40726
198521,6,452.39313,351.09418
198522,6,333.59036,335.10583
198523,6,573.08563,350.6753
198524,6,228.08789,357.6777
198525,6,512.9517,356.8299
198526,6,683.4546,366.3697
198527,6,393.7762,372.14755
198528,6,765.5055,386.59195
198529,6,330.97253,393.08087
198530,6,613.1029,398.9091
198531,6,446.09778,410.46683
198532,6,541.9079,396.8648
198533,6,228.36102,414.34976
198534,6,285.83804,415.175
198535,6,726.6317,426.92505
198536,6,676.0678,431.0339
198537,6,795.2,441.22104
198538,6,394.68292,435.31485
198539,6,550.82007,443.52487
198540,6,164.07388,456.8427
198541,6,336.52298,471.60928
198542,6,617.9701,456.30316
198543,6,263.79663,473.34595
198544,6,212.52301,469.74524
198545,6,530.6702,489.1088
198546,6,448.71167,479.42783
198547,6,766.6995,489.3729
198548,6,720.55927,502.7921
198549,6,671.0368,494.32202
198550,6,626.3533,513.96405
198551,6,377.00537,527.2977
198552,6,224.56685,526.3996
198553,6,287.68457,539.2222
198554,6,813.7415,550.6
198555,6,683.114,553.6658
198556,6,182.0017,569.0136
198557,6,582.2065,560.46484
198558,6,474.1209,576.24133
198559,6,332.33585,570.55927
198560,6,630.2014,574.3085
198561,6,719.78595,604.02454
198562,6,375.35678,587.3903
198563,6,620.5854,643.68964
198564,6,560.90704,624.612
198565,6,402.02133,632.08026
198566,6,210.48495,636.22125
198567,6,340.33316,633.7924
198568,6,458.70932,645.46423
198569,6,280.95825,647.32025
198570,6,514.92377,644.9614
198571,6,693.87823,671.89075
198572,6,396.85394,698.9034
198573,6,536.5794,700.181
198574,6,625.3853,710.5346
198575,6,263.08975,714.95233
198576,6,471.3158,711.6776
198577,6,569.16473,750.8611
198578,6,368.73395,751.85345
198579,6,666.4967,755.5588
198580,6,445.94983,758.5137
198581,6,524.3472,786.9955
198582,6,595.3821,801.2262
198583,6,347.9983,782.85223
198584,6,475.33295,815.1863
198585,6,411.12723,807.74084
246713,7,613.5471,73.86882
246714,7,572.1688,127.009315
246715,7,445.3414,132.08691
246716,7,498.66412,136.82002
246717,7,613.98553,166.08517
246718,7,664.8649,168.16133
246719,7,550.4927,170.7632
246720,7,355.93274,173.43898
246721,7,487.71835,196.47942
246722,7,728.33057,218.45508
246723,7,540.5217,215.22998
246724,7,389.0896,231.17982
246725,7,637.9976,224.98578
246726,7,342.79034,225.62895
246727,7,583.67975,238.14084
246728,7,296.45828,238.19507
246729,7,686.9119,256.39297
246730,7,455.94217,258.13147
246731,7,243.59196,265.60147
246732,7,346.113,274.07535
246733,7,763.5669,297.2301
246734,7,391.6286,307.5169
246735,7,700.0796,313.8575
246736,7,290.51477,305.18753
246737,7,610.3443,306.33536
246738,7,244.13576,309.1918
246739,7,193.58089,321.09933
246740,7,455.80847,342.40198
246741,7,558.24835,328.23648
246742,7,642.86676,350.2354
246743,7,524.466,362.1006
246744,7,225.70613,358.98068
246745,7,791.4592,372.63702
246746,7,744.5912,370.06482
246747,7,392.00534,372.20972
246748,7,335.03387,373.19156
246749,7,609.7527,399.18103
246750,7,437.9945,408.42688
246751,7,716.8302,420.8861
246752,7,249.34238,415.08368
246753,7,353.6017,423.2152
246754,7,676.3027,415.56546
246755,7,791.5386,433.1547
246756,7,487.5869,428.3539
246757,7,198.82304,443.61862
246758,7,549.91003,431.7954
