Metadata_pert_name,corr,Metadata_name,Metadata_conc_step,cell_line,kind
Rabus_2.0,0.4035736622609867,Rabus,2.0,HT29,replicate
Regor_2.0,0.16314774958292916,Regor,2.0,HT29,replicate
Ruxol_2.0,0.03906614004808236,Ruxol,2.0,HT29,replicate
SB216_2.0,0.14381846952147237,SB216,2.0,HT29,replicate
SB505_2.0,-0.03614844352625661,SB505,2.0,HT29,replicate
SN-38_2.0,0.5385265447843933,SN-38,2.0,HT29,replicate
Sapit_2.0,0.01742147215049657,Sapit,2.0,HT29,replicate
Soraf_2.0,0.1354816110833867,Soraf,2.0,HT29,replicate
Tanes_2.0,0.4401306820938313,Tanes,2.0,HT29,replicate
Tasel_2.0,0.6651064304042069,Tasel,2.0,HT29,replicate
Temoz_2.0,-0.05389836060191561,Temoz,2.0,HT29,replicate
Trame_2.0,0.11460124838422209,Trame,2.0,HT29,replicate
Trici_2.0,0.03997836249068892,Trici,2.0,HT29,replicate
Trifl_2.0,0.06075046844736026,Trifl,2.0,HT29,replicate
Velip_2.0,0.018580773115417167,Velip,2.0,HT29,replicate
Vemur_2.0,0.4828412098352961,Vemur,2.0,HT29,replicate
Vorin_2.0,0.13923956897631698,Vorin,2.0,HT29,replicate
abema_2.0,0.3675737137425889,abema,2.0,HT29,replicate
5Z-7-_3.0,0.42298479892367197,5Z-7-,3.0,HT29,replicate
ABT-7_3.0,-0.11021722731814403,ABT-7,3.0,HT29,replicate
AMG23_3.0,0.08707588616034544,AMG23,3.0,HT29,replicate
AZD45_3.0,0.21737981139183052,AZD45,3.0,HT29,replicate
AZD77_3.0,0.707954323408405,AZD77,3.0,HT29,replicate
AZD80_3.0,0.4861929170289673,AZD80,3.0,HT29,replicate
Afati_3.0,0.3939756137797299,Afati,3.0,HT29,replicate
Alpel_3.0,0.43617415337133003,Alpel,3.0,HT29,replicate
BMS-7_3.0,0.46311052446797707,BMS-7,3.0,HT29,replicate
Binim_3.0,0.7053592577617823,Binim,3.0,HT29,replicate
Cobim_3.0,0.6970232607325895,Cobim,3.0,HT29,replicate
Crizo_3.0,0.4819124119419119,Crizo,3.0,HT29,replicate
Dabra_3.0,0.6571554480636514,Dabra,3.0,HT29,replicate
Doram_3.0,0.0910677673088594,Doram,3.0,HT29,replicate
Encor_3.0,0.5075513275967105,Encor,3.0,HT29,replicate
Fluor_3.0,0.029796401738647296,Fluor,3.0,HT29,replicate
Gefit_3.0,0.22505538323141694,Gefit,3.0,HT29,replicate
Gemci_3.0,0.4698028736835449,Gemci,3.0,HT29,replicate
LGK-9_3.0,-0.07986009472307179,LGK-9,3.0,HT29,replicate
Linsi_3.0,0.5193477758441374,Linsi,3.0,HT29,replicate
MK-22_3.0,0.4744716383023868,MK-22,3.0,HT29,replicate
Migli_3.0,-0.07149475650517406,Migli,3.0,HT29,replicate
Navit_3.0,0.1184981835972897,Navit,3.0,HT29,replicate
Nutli_3.0,0.02553462817919669,Nutli,3.0,HT29,replicate
Olapa_3.0,0.02946710897855749,Olapa,3.0,HT29,replicate
Oxali_3.0,0.356664479273918,Oxali,3.0,HT29,replicate
PD032_3.0,0.6907777865283055,PD032,3.0,HT29,replicate
PI-10_3.0,0.2910250793656199,PI-10,3.0,HT29,replicate
Palbo_3.0,0.4448680652994583,Palbo,3.0,HT29,replicate
Phenf_3.0,-0.037864727888549915,Phenf,3.0,HT29,replicate
Rabus_3.0,0.4284975556118256,Rabus,3.0,HT29,replicate
Regor_3.0,0.25791197656559645,Regor,3.0,HT29,replicate
Ruxol_3.0,,Ruxol,3.0,HT29,replicate
SB216_3.0,0.007455697584856723,SB216,3.0,HT29,replicate
SB505_3.0,0.16707571470853944,SB505,3.0,HT29,replicate
SN-38_3.0,0.5517632435871328,SN-38,3.0,HT29,replicate
Sapit_3.0,0.05702008265992781,Sapit,3.0,HT29,replicate
Soraf_3.0,-0.09560906736630591,Soraf,3.0,HT29,replicate
Tanes_3.0,,Tanes,3.0,HT29,replicate
Tasel_3.0,0.47912264696588913,Tasel,3.0,HT29,replicate
Temoz_3.0,0.00025011643430294635,Temoz,3.0,HT29,replicate
Trame_3.0,0.32082926320307337,Trame,3.0,HT29,replicate
Trici_3.0,0.18881761389594148,Trici,3.0,HT29,replicate
Trifl_3.0,0.38137968353644686,Trifl,3.0,HT29,replicate
Velip_3.0,-0.03891192947707034,Velip,3.0,HT29,replicate
Vemur_3.0,0.740360364045468,Vemur,3.0,HT29,replicate
Vorin_3.0,0.5999426989571345,Vorin,3.0,HT29,replicate
abema_3.0,0.4878812136470335,abema,3.0,HT29,replicate
5Z-7-_4.0,,5Z-7-,4.0,HT29,replicate
ABT-7_4.0,-0.0032460664133203785,ABT-7,4.0,HT29,replicate
AMG23_4.0,-0.011743678229330373,AMG23,4.0,HT29,replicate
