Metadata_pert_name,corr,Metadata_name,Metadata_conc_step,cell_line,kind
Palbo_2.0,0.8237440070143148,Palbo,2.0,HT29,replicate
Phenf_2.0,-0.1493446135357003,Phenf,2.0,HT29,replicate
Rabus_2.0,0.5384886070620789,Rabus,2.0,HT29,replicate
Regor_2.0,0.2492106234783111,Regor,2.0,HT29,replicate
Ruxol_2.0,0.02327499070118922,Ruxol,2.0,HT29,replicate
SB216_2.0,0.27283455397031753,SB216,2.0,HT29,replicate
SB505_2.0,0.04795527359690029,SB505,2.0,HT29,replicate
SN-38_2.0,0.7530658647430422,SN-38,2.0,HT29,replicate
Sapit_2.0,0.1963834915688945,Sapit,2.0,HT29,replicate
Soraf_2.0,0.1396121149416952,Soraf,2.0,HT29,replicate
Tanes_2.0,0.699793299789291,Tanes,2.0,HT29,replicate
Tasel_2.0,0.6705205721555817,Tasel,2.0,HT29,replicate
Temoz_2.0,-0.032646321646556314,Temoz,2.0,HT29,replicate
Trame_2.0,0.14685944917015364,Trame,2.0,HT29,replicate
Trici_2.0,0.1933573366425798,Trici,2.0,HT29,replicate
Trifl_2.0,0.41305921886762487,Trifl,2.0,HT29,replicate
Velip_2.0,0.27897939250675075,Velip,2.0,HT29,replicate
Vemur_2.0,0.6850436655765926,Vemur,2.0,HT29,replicate
Vorin_2.0,0.2891288851592476,Vorin,2.0,HT29,replicate
abema_2.0,0.6122892310713381,abema,2.0,HT29,replicate
5Z-7-_3.0,0.5910348434902785,5Z-7-,3.0,HT29,replicate
ABT-7_3.0,-0.032505024808575034,ABT-7,3.0,HT29,replicate
AMG23_3.0,-0.004317572399246132,AMG23,3.0,HT29,replicate
AZD45_3.0,0.3120093885527061,AZD45,3.0,HT29,replicate
AZD77_3.0,0.7611155704729817,AZD77,3.0,HT29,replicate
AZD80_3.0,0.5026464495958426,AZD80,3.0,HT29,replicate
Afati_3.0,0.5021550076297906,Afati,3.0,HT29,replicate
Alpel_3.0,0.5098600335689024,Alpel,3.0,HT29,replicate
BMS-7_3.0,0.5077668088427061,BMS-7,3.0,HT29,replicate
Binim_3.0,0.5890169242562133,Binim,3.0,HT29,replicate
Cobim_3.0,0.8057718353216996,Cobim,3.0,HT29,replicate
Crizo_3.0,0.5125279346872172,Crizo,3.0,HT29,replicate
Dabra_3.0,0.4847918354784955,Dabra,3.0,HT29,replicate
Doram_3.0,0.23534231938039946,Doram,3.0,HT29,replicate
Encor_3.0,0.44589059957819566,Encor,3.0,HT29,replicate
Fluor_3.0,0.5572412016214132,Fluor,3.0,HT29,replicate
Gefit_3.0,0.4521895561727964,Gefit,3.0,HT29,replicate
Gemci_3.0,0.37540765734798964,Gemci,3.0,HT29,replicate
LGK-9_3.0,-0.12629459142697352,LGK-9,3.0,HT29,replicate
Linsi_3.0,0.7048788112454878,Linsi,3.0,HT29,replicate
MK-22_3.0,0.46430298208402837,MK-22,3.0,HT29,replicate
Migli_3.0,-0.14929945853875082,Migli,3.0,HT29,replicate
Navit_3.0,0.2009079027500148,Navit,3.0,HT29,replicate
Nutli_3.0,0.24319826041929993,Nutli,3.0,HT29,replicate
Olapa_3.0,0.41196008323287553,Olapa,3.0,HT29,replicate
Oxali_3.0,0.6982815115649421,Oxali,3.0,HT29,replicate
PD032_3.0,0.5906372083509227,PD032,3.0,HT29,replicate
PI-10_3.0,0.38071344930308015,PI-10,3.0,HT29,replicate
Palbo_3.0,0.7228932365736245,Palbo,3.0,HT29,replicate
Phenf_3.0,0.23653226685714854,Phenf,3.0,HT29,replicate
Rabus_3.0,0.6791385249665383,Rabus,3.0,HT29,replicate
Regor_3.0,0.5686930794767258,Regor,3.0,HT29,replicate
Ruxol_3.0,0.54469753445429,Ruxol,3.0,HT29,replicate
SB216_3.0,0.2559769557336744,SB216,3.0,HT29,replicate
SB505_3.0,0.281275818658255,SB505,3.0,HT29,replicate
SN-38_3.0,0.7317489212725299,SN-38,3.0,HT29,replicate
Sapit_3.0,-0.027978539492161277,Sapit,3.0,HT29,replicate
Soraf_3.0,0.005624879420139034,Soraf,3.0,HT29,replicate
Tanes_3.0,,Tanes,3.0,HT29,replicate
Tasel_3.0,0.5188521098196477,Tasel,3.0,HT29,replicate
Temoz_3.0,0.2037856002393723,Temoz,3.0,HT29,replicate
Trame_3.0,-0.11735554096664716,Trame,3.0,HT29,replicate
Trici_3.0,0.4770878902236432,Trici,3.0,HT29,replicate
Trifl_3.0,0.4188945813133931,Trifl,3.0,HT29,replicate
Velip_3.0,-0.16545432463078444,Velip,3.0,HT29,replicate
Vemur_3.0,0.5395114724230157,Vemur,3.0,HT29,replicate
Vorin_3.0,0.6170297295839432,Vorin,3.0,HT29,replicate
abema_3.0,0.7539572847387187,abema,3.0,HT29,replicate
5Z-7-_4.0,,5Z-7-,4.0,HT29,replicate
ABT-7_4.0,-0.10278623241040902,ABT-7,4.0,HT29,replicate
AMG23_4.0,0.20965866582754078,AMG23,4.0,HT29,replicate
AZD45_4.0,0.5533727228070625,AZD45,4.0,HT29,replicate
AZD77_4.0,0.8328869611301994,AZD77,4.0,HT29,replicate
AZD80_4.0,0.5649713014237943,AZD80,4.0,HT29,replicate
Alpel_4.0,0.6737957326494433,Alpel,4.0,HT29,replicate
BMS-7_4.0,0.6928795111552735,BMS-7,4.0,HT29,replicate
Binim_4.0,0.7497745131782232,Binim,4.0,HT29,replicate
Dabra_4.0,0.6760765278688585,Dabra,4.0,HT29,replicate
Doram_4.0,0.034006581256752405,Doram,4.0,HT29,replicate
Encor_4.0,0.8334050421215005,Encor,4.0,HT29,replicate
Fluor_4.0,0.5774142083154817,Fluor,4.0,HT29,replicate
Gefit_4.0,0.5763959696815564,Gefit,4.0,HT29,replicate
Gemci_4.0,0.6247197951705088,Gemci,4.0,HT29,replicate
LGK-9_4.0,0.00015719435625333178,LGK-9,4.0,HT29,replicate
Linsi_4.0,0.8559730197413539,Linsi,4.0,HT29,replicate
Migli_4.0,0.017423632908456374,Migli,4.0,HT29,replicate
Navit_4.0,0.07051782759010954,Navit,4.0,HT29,replicate
Nutli_4.0,-0.21440538703676498,Nutli,4.0,HT29,replicate
Olapa_4.0,0.1478260425354138,Olapa,4.0,HT29,replicate
Oxali_4.0,0.6424292890191038,Oxali,4.0,HT29,replicate
PD032_4.0,0.7705923899669528,PD032,4.0,HT29,replicate
PI-10_4.0,0.04871190991863486,PI-10,4.0,HT29,replicate
Palbo_4.0,0.6994357278118285,Palbo,4.0,HT29,replicate
Phenf_4.0,0.19664417615142982,Phenf,4.0,HT29,replicate
Rabus_4.0,0.7794324778348815,Rabus,4.0,HT29,replicate
Regor_4.0,0.2643090953739335,Regor,4.0,HT29,replicate
Ruxol_4.0,0.383450368077469,Ruxol,4.0,HT29,replicate
SB216_4.0,-0.20126429662176057,SB216,4.0,HT29,replicate
SB505_4.0,0.48695683010829427,SB505,4.0,HT29,replicate
SN-38_4.0,0.504379883057376,SN-38,4.0,HT29,replicate
Sapit_4.0,-0.007963929185682405,Sapit,4.0,HT29,replicate
Soraf_4.0,0.08268090089705014,Soraf,4.0,HT29,replicate
Tanes_4.0,,Tanes,4.0,HT29,replicate
Tasel_4.0,0.6258109320597869,Tasel,4.0,HT29,replicate
Temoz_4.0,0.061335825206455016,Temoz,4.0,HT29,replicate
Trame_4.0,0.024320868263979115,Trame,4.0,HT29,replicate
Trici_4.0,0.09465550160431153,Trici,4.0,HT29,replicate
Trifl_4.0,0.8244623157986223,Trifl,4.0,HT29,replicate
Velip_4.0,-0.19085853002450676,Velip,4.0,HT29,replicate
